title,latitude,longitude,page,url
Miners Peak,44.86854,-115.77364,minerspeak.html,http://www.firelookout.com/id/minerspeak.html
Morehead Mountain,44.56455,-115.35892,morehead.html,http://www.firelookout.com/id/morehead.html
No Business,44.76431,-116.19613,nobusiness.html,http://www.firelookout.com/id/nobusiness.html
Norton Ridge,44.86069,-114.92599,nortonridge.html,http://www.firelookout.com/id/nortonridge.html
Pilot Peak,45.17399,-115.52704,pilotpeak.html,http://www.firelookout.com/id/pilotpeak.html
Pollock Mountain,45.18922,-116.41275,pollock.html,http://www.firelookout.com/id/pollock.html
Rice Peak,44.50653,-115.62789,ricepeak.html,http://www.firelookout.com/id/ricepeak.html
Rock Rabbit Point,45.26107,-115.2389,rockrabbit.html,http://www.firelookout.com/id/rockrabbit.html
Sheepeater Mountain,45.38986,-115.34687,sheepeater.html,http://www.firelookout.com/id/sheepeater.html
Shellrock Peak,44.95651,-114.93658,shellrockpeak.html,http://www.firelookout.com/id/shellrockpeak.html
Short Creek,45.01061,-114.77809,shortcreek.html,http://www.firelookout.com/id/shortcreek.html
Silver Creek Point,44.38468,-115.78902,silvercreek.html,http://www.firelookout.com/id/silvercreek.html
Smith Mountain,45.13436,-116.57933,smithmtn309.html,http://www.firelookout.com/id/smithmtn309.html
Stoddard Creek,45.21797,-114.73649,stoddard.html,http://www.firelookout.com/id/stoddard.html
Sturgill Peak,44.61991,-116.94246,sturgillpeak.html,http://www.firelookout.com/id/sturgillpeak.html
Thunderbolt Mountain,44.73254,-115.63986,thunderbolt.html,http://www.firelookout.com/id/thunderbolt.html
Tripod Peak,44.38412,-116.12831,tripodpeak.html,http://www.firelookout.com/id/tripodpeak.html
War Eagle,45.32173,-115.79478,wareagle.html,http://www.firelookout.com/id/wareagle.html
Whitehawk,44.28744,-115.53073,whitehawk.html,http://www.firelookout.com/id/whitehawk.html
Williams Peak,45.01861,-115.66289,williamspeak.html,http://www.firelookout.com/id/williamspeak.html
Big Hill,45.14144,-114.77026,bighill307.html,http://www.firelookout.com/id/bighill307.html
Black Mare,44.8201333,-115.7892,blackmare.html,http://www.firelookout.com/id/blackmare.html
Butts Creek Point,45.3615667,-114.73735,buttscreekpoint.html,http://www.firelookout.com/id/buttscreekpoint.html
Jackley,45.24855,-116.52175,jackley.html,http://www.firelookout.com/id/jackley.html
Rush Creek Point,45.0974833,-114.93445,rushcreekpoint.html,http://www.firelookout.com/id/rushcreekpoint.html
Savage Ridge,45.08165,-115.58329,savageridge309.html,http://www.firelookout.com/id/savageridge309.html
Anderson Butte,45.88754,-115.33131,andersonbutte.html,http://www.firelookout.com/id/andersonbutte.html
Bear Mountain,46.43117,-114.92463,bearmtn291.html,http://www.firelookout.com/id/bearmtn291.html
Beaver Ridge,46.56313,-114.44209,beaverridge.html,http://www.firelookout.com/id/beaverridge.html
Burnt Knob,45.70271,-114.99109,burntknob291.html,http://www.firelookout.com/id/burntknob291.html
Chair Point,45.47086,-116.22927,chairpoint.html,http://www.firelookout.com/id/chairpoint.html
Coolwater,46.15441,-115.45693,coolwater.html,http://www.firelookout.com/id/coolwater.html
Corral Hill,45.96423,-115.82291,corralhill.html,http://www.firelookout.com/id/corralhill.html
Diablo Mountain,46.29622,-114.61786,diablo.html,http://www.firelookout.com/id/diablo.html
Elk Summit,45.8798,-115.5402,elksummit.html,http://www.firelookout.com/id/elksummit.html
Grave Peak,46.3951,-114.7302,gravepk.html,http://www.firelookout.com/id/gravepk.html
Green Mountain,45.77099,-115.07621,greenmtnid.html,http://www.firelookout.com/id/greenmtnid.html
